main_topic;cloze_test;translation;hint;extra
Verb ver Futuro (2. Sg. - Wahrnehmung);Tú {{c1::verás}} el hospital desde la ventana el martes.;Du wirst am Dienstag das Krankenhaus vom Fenster aus sehen können.;Bilde die 2. Person Singular von ver (du wirst sehen) im Futuro Simple.;Wochentage nutzen im Spanischen den bestimmten Artikel (el martes).
Verb ver Futuro (2. Sg. - Reflexiv Aussehen);Con ese vestido, tú te {{c1::verás}} muy hermosa.;Mit diesem Kleid wirst du sehr schön aussehen.;Bilde die 2. Person Singular von ver für das reflexive Aussehen (verse) im Futuro Simple.;Hermosa passt sich an das weibliche, implizite Subjekt an.
Verb ver Futuro (2. Sg. - Medien);Tú {{c1::verás}} el partido de fútbol en mi casa, ¿no?;Du wirst das Fußballspiel bei mir zu Hause schauen, richtig?;Bilde die 2. Person Singular von ver (du wirst schauen) im Futuro Simple.;Partido steht für das Spiel oder Match.
Verb ver Futuro (2. Sg. - Vermutung Treffen);¿Tú te {{c1::verás}} con tu hermano ahora en el centro?;Triffst du dich jetzt vielleicht gerade mit deinem Bruder im Zentrum?;Bilde die 2. Person Singular von ver im Futuro für eine Vermutung im Jetzt.;Das Futuro drückt hier eine Vermutung über ein aktuelles Treffen aus ("Du wirst dich doch wohl jetzt treffen?").
Verb ver Futuro (3. Sg. - Wahrnehmung);El director {{c1::verá}} un gran error en el contrato.;Der Leiter wird einen großen Fehler im Vertrag sehen.;Bilde die 3. Person Singular von ver (er/sie/es wird sehen) im Futuro Simple. Denke an den Akzent!;Die Form verá trägt einen Akzent auf dem a.
Verb ver Futuro (3. Sg. - Treffen);Ella {{c1::verá}} a su madre el próximo domingo.;Sie wird nächsten Sonntag ihre Mutter sehen (treffen).;Bilde die 3. Person Singular von ver (er/sie/es wird sehen) im Futuro Simple.;Das persönliche "a" steht vor Personen nach dem Verb ver.
Verb ver Futuro (3. Sg. - Reflexiv Aussehen);Él se {{c1::verá}} muy feliz durante las vacaciones.;Er wird während des Urlaubs sehr glücklich aussehen.;Bilde die 3. Person Singular von ver für das reflexive Aussehen (verse) im Futuro Simple.;Feliz bleibt im Singular für beide Geschlechter gleich.
Verb ver Futuro (3. Sg. - Vermutung Medien);¿Qué película {{c1::verá}} el niño en su cuarto ahora?;Welchen Film schaut das Kind jetzt wohl in seinem Zimmer?;Bilde die 3. Person Singular von ver im Futuro für eine Vermutung in der Gegenwart.;Drückt eine aktuelle Ungewissheit aus ("Was mag er wohl gerade schauen?").
Verb ver Futuro (3. Sg. - Verstehen);Ella {{c1::verá}} que los cambios son importantes.;Sie wird einsehen, dass die Veränderungen wichtig sind.;Bilde die 3. Person Singular von ver (er/sie/es wird einsehen) im Futuro Simple.;Cambio (Veränderung) ist ein maskulines Substantiv.
Verb ver Futuro (1. Pl. - Wahrnehmung);El sábado nosotros {{c1::veremos}} las estrellas.;Am Samstag werden wir die Sterne sehen.;Bilde die 1. Person Plural von ver (wir werden sehen) im Futuro Simple. Kein Akzent!;Die Form veremos hat im Futuro Simple als einzige Person keinen geschriebenen Akzent.
Verb ver Futuro (1. Pl. - Medien);Nosotros {{c1::veremos}} una serie nueva en la televisión.;Wir werden eine neue Serie im Fernsehen schauen.;Bilde die 1. Person Plural von ver (wir werden schauen) im Futuro Simple.;Serie ist ein weibliches Substantiv (una serie).
Verb ver Futuro (1. Pl. - Reflexiv Treffen);Muy pronto nosotros nos {{c1::veremos}} en la oficina.;Sehr bald werden wir uns im Büro sehen (treffen).;Bilde die 1. Person Plural von ver für das reziproke "uns sehen" (verse) im Futuro Simple.;Das Reflexivpronomen lautet nos für die wir-Form.
Verb ver Futuro (1. Pl. - Treffen);Nosotras {{c1::veremos}} a nuestras amigas en la playa.;Wir werden unsere Freundinnen am Strand treffen (sehen).;Bilde die 1. Person Plural von ver für eine rein weibliche Gruppe im Futuro Simple.;Nuestras amigas fordert das persönliche "a" nach dem Verb.
Verb ver Futuro (1. Pl. - Verstehen);Nosotros {{c1::veremos}} si el proyecto es viable.;Wir werden sehen, ob das Projekt machbar ist.;Bilde die 1. Person Plural von ver (wir werden sehen) im Futuro Simple.;Viable bedeutet machbar oder umsetzbar.
Verb ver Futuro (2. Pl. - Frage);¿Vosotros {{c1::veréis}} el problema real mañana?;Werdet ihr das wirkliche Problem morgen sehen?;Bilde die 2. Person Plural von ver (ihr werdet sehen) im Futuro Simple. Akzent auf dem e!;Die Form veréis trägt einen geschriebenen Akzent auf dem Diphthong.
Verb ver Futuro (2. Pl. - Reflexiv Aussehen);Vosotros os {{c1::veréis}} muy jóvenes en esa foto.;Ihr werdet auf diesem Foto sehr jung aussehen.;Bilde die 2. Person Plural von ver für das reflexive Aussehen mit os im Futuro Simple.;Foto ist weiblich (la foto), daher heißt es "esa foto".
Verb ver Futuro (2. Pl. - Medien);Vosotras {{c1::veréis}} una exposición de arte el lunes.;Ihr werdet am Montag eine Kunstausstellung anschauen.;Bilde die 2. Person Plural von ver für eine rein weibliche Gruppe im Futuro Simple.;Exposición ist weiblich laut D-IÓ-A-Z-Regel.
Verb ver Futuro (2. Pl. - Treffen);¿Vosotros {{c1::veréis}} al jefe la próxima semana?;Werdet ihr den Chef nächste Woche sehen (treffen)?;Bilde die 2. Person Plural von ver (ihr werdet sehen) im Futuro Simple mit Akzent.;Verschmelzung von a + el = al vor jefe.
Verb ver Futuro (2. Pl. - Vermutung Aussehen);Vosotros os {{c1::veréis}} muy cansados ahora, supongo.;Ihr seht jetzt wohl sehr müde aus, nehme ich an.;Bilde die 2. Person Plural von ver im Futuro für eine Vermutung im Jetzt.;Supongo ist die 1. Person Singular von suponer (annehmen).
Verb ver Futuro (3. Pl. - Wahrnehmung);Los empleados {{c1::verán}} una gran oportunidad mañana.;Die Angestellten werden morgen eine große Gelegenheit sehen.;Bilde die 3. Person Plural von ver (sie werden sehen) im Futuro Simple. Akzent auf dem a!;Die Endung lautet -án (verán).
Verb ver Futuro (3. Pl. - Treffen);Esos chicos {{c1::verán}} a sus padres por la tarde.;Diese Jungs werden ihre Eltern am Nachmittag sehen (treffen).;Bilde die 3. Person Plural von ver (sie werden sehen) im Futuro Simple mit Akzent.;Padres verlangt das persönliche "a".
Verb ver Futuro (3. Pl. - Reflexiv Aussehen);Ellos se {{c1::verán}} felices con el viaje largo.;Sie werden mit der langen Reise glücklich aussehen.;Bilde die 3. Person Plural von ver für das reflexive Aussehen (verse) im Futuro Simple.;Felices ist der Plural von feliz.
Verb ver Futuro (3. Pl. - Unpersönlich Plural);En este mapa se {{c1::verán}} las calles nuevas.;Auf dieser Karte wird man die neuen Straßen sehen können (wörtlich: werden sie gesehen werden).;Bilde die unpersönliche Form im Plural (se verán) im Futuro Simple.;Da "las calles" im Plural steht, wechselt auch das unpersönliche Verb mit se in den Plural.
Verb ver Futuro (3. Pl. - Vermutung Medien);Ellos {{c1::verán}} la televisión ya porque es tarde.;Sie werden wohl schon fernsehen, weil es spät ist.;Bilde die 3. Person Plural von ver im Futuro für eine Vermutung im Jetzt.;Drückt eine logische Vermutung über die aktuelle Aktivität anderer Personen aus.
Verb ver Condicional (1. Sg. - Hypothese);Con más dinero, yo {{c1::vería}} un coche nuevo en la calle.;Mit mehr Geld würde ich ein neues Auto auf der Straße sehen.;Bilde die 1. Person Singular von ver (ich würde sehen) im Condicional Simple. Denke an den Akzent!;Das Condicional wird hier für eine hypothetische Situation in der Gegenwart genutzt.
Verb ver Condicional (1. Sg. - Medien);Yo {{c1::vería}} un documental bueno si tuviera tiempo.;Ich würde eine gute Dokumentation schauen, wenn ich Zeit hätte.;Bilde die 1. Person Singular von ver (ich würde sehen/schauen) im Condicional Simple.;Tuviera ist der Subjuntivo Imperfekt von tener.
Verb ver Condicional (1. Sg. - Treffen);Pronto yo {{c1::vería}} al director si estuviera en su despacho.;Bald würde ich den Leiter treffen (sehen), wenn er in seinem Büro wäre.;Bilde die 1. Person Singular von ver (ich würde treffen) im Condicional Simple.;Estuviera ist der Subjuntivo Imperfekt von estar.
Verb ver Condicional (1. Sg. - Verstehen);Con los nuevos datos, yo {{c1::vería}} que es necesario.;Mit den neuen Daten würde ich einsehen (sehen), dass es notwendig ist.;Bilde die 1. Person Singular von ver (ich würde einsehen) im Condicional Simple.;"Que" leitet oft logische Schlussfolgerungen ein.
Verb ver Condicional (1. Sg. - Reflexiv Aussehen);Con este traje nuevo, yo me {{c1::vería}} muy elegante.;Mit diesem neuen Anzug würde ich sehr elegant aussehen.;Bilde die 1. Person Singular von ver für das reflexive Aussehen (verse) im Condicional Simple.;"Verse + Adjektiv" drückt aus, wie man hypothetisch wirken würde.
Verb ver Condicional (2. Sg. - Ratschlag);En tu lugar, tú {{c1::verías}} los resultados del examen hoy.;An deiner Stelle würde ich mir die Prüfungsergebnisse heute ansehen.;Bilde die 2. Person Singular von ver (du würdest sehen) im Condicional Simple. Denke an den Akzent!;"En tu lugar" (An deiner Stelle) verlangt im Hauptsatz das Condicional.
Verb ver Condicional (2. Sg. - Wahrnehmung);Tú {{c1::verías}} el hospital desde la ventana si no hubiera árboles.;Du würdest das Krankenhaus vom Fenster aus sehen, wenn es keine Bäume gäbe.;Bilde die 2. Person Singular von ver (du würdest sehen) im Condicional Simple.;Hubiera ist der Subjuntivo Imperfekt von haber (unpersönlich für "es gäbe").
Verb ver Condicional (2. Sg. - Reflexiv Aussehen);Con ese vestido, tú te {{c1::verías}} muy hermosa.;Mit diesem Kleid würdest du sehr schön aussehen.;Bilde die 2. Person Singular von ver für das reflexive Aussehen (verse) im Condicional Simple.;Hermosa passt sich an das weibliche, implizite Subjekt an.
Verb ver Condicional (2. Sg. - Medien);Tú {{c1::verías}} el partido de fútbol si tuvieras televisión.;Du würdest das Fußballspiel schauen, wenn du einen Fernseher hättest.;Bilde die 2. Person Singular von ver (du würdest schauen) im Condicional Simple.;Partido steht für das Spiel oder Match.
Verb ver Condicional (2. Sg. - Vermutung Vergangenheit);¿Tú te {{c1::verías}} con tu hermano ayer en el centro?;Hast du dich gestern vielleicht mit deinem Bruder im Zentrum getroffen?;Bilde die 2. Person Singular von ver im Condicional für eine Vermutung.;Das Condicional drückt hier eine Vermutung über ein Treffen in der Vergangenheit aus.
Verb ver Condicional (3. Sg. - Wahrnehmung);El director {{c1::vería}} un gran error si leyera el contrato.;Der Leiter würde einen großen Fehler sehen, wenn er den Vertrag lesen würde.;Bilde die 3. Person Singular von ver (er/sie/es würde sehen) im Condicional Simple. Denke an den Akzent!;Leyera ist der Subjuntivo Imperfekt von leer.
Verb ver Condicional (3. Sg. - Treffen);Ella {{c1::vería}} a su madre si no trabajara el domingo.;Sie würde ihre Mutter treffen (sehen), wenn sie am Sonntag nicht arbeiten würde.;Bilde die 3. Person Singular von ver (er/sie/es würde sehen) im Condicional Simple.;Trabajara ist der Subjuntivo Imperfekt von trabajar.
Verb ver Condicional (3. Sg. - Reflexiv Aussehen);Él se {{c1::vería}} muy feliz si fuera de vacaciones.;Er würde während des Urlaubs sehr glücklich aussehen.;Bilde die 3. Person Singular von ver für das reflexive Aussehen (verse) im Condicional Simple.;Fuera ist der Subjuntivo Imperfekt von ser.
Verb ver Condicional (3. Sg. - Vermutung Vergangenheit);¿Qué película {{c1::vería}} el niño en su cuarto ayer?;Welchen Film hat das Kind gestern wohl in seinem Zimmer geschaut?;Bilde die 3. Person Singular von ver im Condicional für eine Vermutung in der Vergangenheit.;Drückt eine vergangene Ungewissheit aus ("Was mag er wohl gerade geschaut haben?").
Verb ver Condicional (3. Sg. - Verstehen);Ella {{c1::vería}} que los cambios son importantes con el tiempo.;Sie würde mit der Zeit einsehen, dass die Veränderungen wichtig sind.;Bilde die 3. Person Singular von ver (er/sie/es würde einsehen) im Condicional Simple.;Cambio (Veränderung) ist ein maskulines Substantiv.
Verb ver Condicional (1. Pl. - Wahrnehmung);Sin la tormenta, nosotros {{c1::veríamos}} las estrellas.;Ohne das Gewitter würden wir die Sterne sehen.;Bilde die 1. Person Plural von ver (wir würden sehen) im Condicional Simple. Denke an den Akzent!;Jede Form im Condicional Simple trägt einen geschriebenen Akzent auf dem i (veríamos).
Verb ver Condicional (1. Pl. - Medien);Nosotros {{c1::veríamos}} una serie si estuviéramos en casa.;Wir würden eine Serie schauen, wenn wir zu Hause wären.;Bilde die 1. Person Plural von ver (wir würden schauen) im Condicional Simple mit Akzent.;Estuviéramos ist der Subjuntivo Imperfekt von estar.
Verb ver Condicional (1. Pl. - Reflexiv Treffen);Con más tiempo, nosotros nos {{c1::veríamos}} en la oficina.;Mit mehr Zeit würden wir uns im Büro sehen (treffen).;Bilde die 1. Person Plural von ver für das reziproke "uns sehen" (verse) im Condicional Simple.;Das Reflexivpronomen lautet nos für die wir-Form.
Verb ver Condicional (1. Pl. - Treffen);Nosotras {{c1::veríamos}} a nuestras amigas si vinieran.;Wir würden unsere Freundinnen treffen, wenn sie kommen würden.;Bilde die 1. Person Plural von ver für eine rein weibliche Gruppe im Condicional Simple.;Vinieran ist der Subjuntivo Imperfekt von venir.
Verb ver Condicional (1. Pl. - Verstehen);Nosotros {{c1::veríamos}} si el proyecto fuera viable.;Wir würden sehen (einsehen), ob das Projekt machbar wäre.;Bilde die 1. Person Plural von ver (wir würden sehen) im Condicional Simple.;Viable bedeutet machbar oder umsetzbar.
Verb ver Condicional (2. Pl. - Frage);¿Vosotros {{c1::veríais}} el problema real si os explicara?;Würdet ihr das wirkliche Problem sehen, wenn ich es euch erklären würde?;Bilde die 2. Person Plural von ver (ihr würdet sehen) im Condicional Simple. Akzent auf dem i!;Die Endung für vosotros lautet -íais (veríais).
Verb ver Condicional (2. Pl. - Reflexiv Aussehen);Vosotros os {{c1::veríais}} muy jóvenes en esa foto con luz.;Ihr würdet auf diesem Foto mit Licht sehr jung aussehen.;Bilde die 2. Person Plural von ver für das reflexive Aussehen mit os im Condicional Simple.;Foto ist weiblich (la foto), daher heißt es "esa foto".
Verb ver Condicional (2. Pl. - Medien);Vosotras {{c1::veréis}} una exposición si estuviera abierta.;Ihr würdet eine Kunstausstellung anschauen, wenn sie geöffnet wäre.;Bilde die 2. Person Plural von ver für eine rein weibliche Gruppe im Condicional Simple.;Abierto ist das Adjektiv zu abrir (öffnen).
Verb ver Condicional (2. Pl. - Treffen);¿Vosotros {{c1::veríais}} al jefe si tuvierais una cita?;Würdet ihr den Chef sehen (treffen), wenn ihr einen Termin hättet?;Bilde die 2. Person Plural von ver (ihr würdet sehen) im Condicional Simple mit Akzent.;Cita bedeutet Termin oder Verabredung.
Verb ver Condicional (2. Pl. - Vermutung Vergangenheit);Vosotros os {{c1::veríais}} muy cansados ayer, supongo.;Ihr saht gestern wohl sehr müde aus, nehme ich an.;Bilde die 2. Person Plural von ver im Condicional für eine Vermutung.;Drückt eine Schätzung über ein vergangenes Aussehen aus ("Ihr werdet gestern wohl müde ausgesehen haben").
Verb ver Condicional (3. Pl. - Wahrnehmung);Los empleados {{c1::verían}} una gran oportunidad con el cambio.;Die Angestellten würden mit der Veränderung eine große Gelegenheit sehen.;Bilde die 3. Person Plural von ver (sie würden sehen) im Condicional Simple. Akzent auf dem i!;Die Endung lautet -ían (verían).
Verb ver Condicional (3. Pl. - Treffen);Esos chicos {{c1::verían}} a sus padres si vivieran aquí.;Diese Jungs würden ihre Eltern sehen (treffen), wenn sie hier wohnen würden.;Bilde die 3. Person Plural von ver (sie würden sehen) im Condicional Simple mit Akzent.;Vivieran ist der Subjuntivo Imperfekt von vivir.
Verb ver Condicional (3. Pl. - Reflexiv Aussehen);Ellos se {{c1::verían}} felices con el viaje largo.;Sie würden mit der langen Reise glücklich aussehen.;Bilde die 3. Person Plural von ver für das reflexive Aussehen (verse) im Condicional Simple.;Felices ist der Plural von feliz.
Verb ver Condicional (3. Pl. - Unpersönlich Plural);En este mapa se {{c1::verían}} las calles nuevas con zoom.;Auf dieser Karte würde man die neuen Straßen mit Zoom sehen können.;Bilde die unpersönliche Form im Plural (se verían) im Condicional Simple.;Da "las calles" im Plural steht, wechselt auch das unpersönliche Verb mit se in den Plural.
Verb ver Condicional (3. Pl. - Vermutung Medien);Ellas {{c1::verían}} la televisión ayer porque era tarde.;Sie haben gestern wohl ferngesehen, weil es spät war.;Bilde die 3. Person Plural von ver im Condicional für eine Vermutung in der Vergangenheit.;Drückt eine logische Vermutung über die vergangene Aktivität anderer Personen aus.
Verb ver Subjuntivo (1. Sg. - Wunsch);Mi madre quiere que yo {{c1::vea}} un coche nuevo en la calle.;Meine Mutter will, dass ich ein neues Auto auf der Straße sehe.;Bilde die 1. Person Singular von ver im Subjuntivo Präsens.;Willensäußerungen (querer que) verlangen bei Subjektwechsel im Nebensatz den Subjuntivo.
Verb ver Subjuntivo (1. Sg. - Medien);El médico pide que yo no {{c1::vea}} la televisión por la tarde.;Der Arzt bittet darum, dass ich nachmittags nicht fernsehe.;Bilde die 1. Person Singular von ver (ich sehe/schaue) im Subjuntivo Präsens.;"Ver la televisión" ist der Standardausdruck für fernsehen.
Verb ver Subjuntivo (1. Sg. - Unpersönlich);Es importante que yo {{c1::vea}} al director hoy.;Es ist wichtig, dass ich den Leiter heute treffe (sehe).;Bilde die 1. Person Singular von ver im Subjuntivo Präsens.;Unpersönliche Ausdrücke der Bewertung (es importante que) lösen den Subjuntivo aus.
Verb ver Subjuntivo (1. Sg. - Verstehen);El jefe busca dass yo {{c1::vea}} que es necesario cambiar.;Der Chef möchte, dass ich einsehe (sehe), dass ein Wechsel notwendig ist.;Bilde die 1. Person Singular von ver im Subjuntivo Präsens.;Wenn eine Absicht oder Erwartung ausgedrückt wird, steht der Subjuntivo.
Verb ver Subjuntivo (1. Sg. - Emotion);Me alegra que yo me {{c1::vea}} bien con este traje.;Es freut mich, dass ich mit diesem Anzug gut aussehe (mich gut sehe).;Bilde die 1. Person Singular von ver für eine Veränderung des Aussehens (verse).;Gefühlsausdrücke (me alegra que) erfordern im Spanischen den Subjuntivo.
Verb ver Subjuntivo (2. Sg. - Wunsch);Espero que tú {{c1::veas}} los resultados del examen hoy.;Ich hoffe, dass du heute die Prüfungsergebnisse siehst.;Bilde die 2. Person Singular von ver im Subjuntivo Präsens.;Das Verb esperar (hoffen) verlangt bei Subjektwechsel zwingend den Subjuntivo.
Verb ver Subjuntivo (2. Sg. - Unpersönlich);Es necesario que tú {{c1::veas}} el hospital desde aquí.;Es ist notwendig, dass du das Krankenhaus von hier aus siehst.;Bilde die 2. Person Singular von ver im Subjuntivo Präsens.;Es necesario que drückt eine Notwendigkeit aus.
Verb ver Subjuntivo (2. Sg. - Aufforderung);Te pido que te {{c1::veas}} más tranquilo hoy.;Ich bitte dich, dass du heute ruhiger aussiehst.;Bilde die 2. Person Singular von ver für das reflexive Aussehen (verse) im Subjuntivo Präsens.;Tranquilo bedeutet ruhig oder gelassen.
Verb ver Subjuntivo (2. Sg. - Zweifel);Dudo que tú {{c1::veas}} el partido de fútbol en mi casa.;Ich bezweifle, dass du das Fußballspiel in meinem Haus schaust.;Bilde die 2. Person Singular von ver im Subjuntivo Präsens.;Zweifel (dudar que) fordern im Nebensatz immer den Subjuntivo.
Verb ver Subjuntivo (2. Sg. - Negation);No creo que tú te {{c1::veas}} con tu hermano hoy.;Ich glaube nicht, dass du dich heute mit deinem Bruder triffst.;Bilde die 2. Person Singular von ver für das reziproke Treffen (verse).;Die verneinte Meinung (no creo que) verlangt den Subjuntivo.
Verb ver Subjuntivo (3. Sg. - Wunsch);Ojalá el director {{c1::vea}} un gran error en el contrato.;Hoffentlich sieht der Leiter einen großen Fehler im Vertrag.;Bilde die 3. Person Singular von ver im Subjuntivo Präsens.;Das Wort ojalá (hoffentlich) wird immer von einer Subjuntivo-Form gefolgt.
Verb ver Subjuntivo (3. Sg. - Unpersönlich);Es mejor que ella {{c1::vea}} a su madre el domingo.;Es ist besser, dass sie am Sonntag ihre Mutter sieht (trifft).;Bilde die 3. Person Singular von ver im Subjuntivo Präsens.;Es mejor que leitet eine unpersönliche Bewertung ein.
Verb ver Subjuntivo (3. Sg. - Reflexiv Aussehen);Es posible que él se {{c1::vea}} muy elegante hoy.;Es ist möglich, dass er heute sehr elegant aussieht.;Bilde die 3. Person Singular von ver für das reflexive Aussehen (verse) im Subjuntivo Präsens.;Möglichkeiten (es posible que) nutzen den Subjuntivo.
Verb ver Subjuntivo (3. Sg. - Unpersönlich allgemein);Es bueno que desde aquí no se {{c1::vea}} la niebla.;Es ist gut, dass man von hier aus den Nebel nicht sieht.;Bilde die unpersönliche Einzahlform mit se (man sieht) im Subjuntivo Präsens.;"Se vea" ist das unpersönliche Muster im Subjuntivo.
Verb ver Subjuntivo (3. Sg. - Konzession);Aunque el niño {{c1::vea}} la película, no la entenderá.;Auch wenn das Kind den Film sehen sollte, wird es ihn nicht verstehen.;Bilde die 3. Person Singular von ver im Subjuntivo Präsens.;Aunque + Subjuntivo drückt eine hypothetische Einschränkung aus ("selbst wenn").
Verb ver Subjuntivo (1. Pl. - Wunsch);Ellos quieren que nosotros {{c1::veamos}} las estrellas.;Sie wollen, dass wir die Sterne sehen.;Bilde die 1. Person Plural von ver im Subjuntivo Präsens. Kein Akzent!;Die Form veamos hat im Subjuntivo Präsens keinen geschriebenen Akzent.
Verb ver Subjuntivo (1. Pl. - Unpersönlich);Es vital que nosotros {{c1::veamos}} una serie juntos.;Es ist lebenswichtig, dass wir zusammen eine Serie schauen.;Bilde die 1. Person Plural von ver im Subjuntivo Präsens.;Es vital que leitet eine starke unpersönliche Notwendigkeit ein.
Verb ver Subjuntivo (1. Pl. - Vorschlag);El líder propone que nos {{c1::veamos}} mañana aquí.;Der Anführer schlägt vor, dass wir uns morgen hier sehen (treffen).;Bilde die 1. Person Plural von ver für das reziproke Treffen (verse).;Vorschläge (proponer que) steuern den Subjuntivo im Nebensatz.
Verb ver Subjuntivo (1. Pl. - Negation);No es verdad que nosotras {{c1::veamos}} a nuestras amigas.;Es ist nicht wahr, dass wir unsere Freundinnen sehen (treffen).;Bilde die 1. Person Plural von ver für eine rein weibliche Gruppe.;Verneinte Tatsachen (no es verdad que) fordern den Subjuntivo.
Verb ver Subjuntivo (1. Pl. - Emotion);Nos da pena que nosotros nicht {{c1::veamos}} el cambio.;Es tut uns leid, dass wir die Veränderung nicht sehen (einsehen).;Bilde die 1. Person Plural von ver im Subjuntivo Präsens.;Gefühlsausdrücke steuern den Subjuntivo im Nebensatz.
Verb ver Subjuntivo (2. Pl. - Wunsch);Mi deseo es que vosotros {{c1::veáis}} el problema real.;Mein Wunsch ist, dass ihr das wirkliche Problem seht.;Bilde die 2. Person Plural von ver im Subjuntivo Präsens. Achte auf den Akzent!;Die Form veáis trägt einen geschriebenen Akzent auf dem a.
Verb ver Subjuntivo (2. Pl. - Unpersönlich);Es increíble que vosotros os {{c1::veáis}} tan jóvenes.;Es ist unglaublich, dass ihr so jung ausseht.;Bilde die 2. Person Plural von ver für das reflexive Aussehen (verse) im Subjuntivo Präsens mit Akzent.;Ausdrücke der Überraschung (es increíble que) lösen den Subjuntivo aus.
Verb ver Subjuntivo (2. Pl. - Verbot);No permitiré que vosotras {{c1::veáis}} ese documental.;Ich werde nicht erlauben, dass ihr diese Dokumentation schaut.;Bilde die 2. Person Plural von ver für eine rein weibliche Gruppe mit Akzent.;No permitir que verlangt im folgenden Satzgefüge den Subjuntivo.
Verb ver Subjuntivo (2. Pl. - Zweifel);No me parece que vosotros {{c1::veáis}} al jefe hoy.;Es scheint mir nicht, dass ihr den Chef heute seht (trefft).;Bilde die 2. Person Plural von ver im Subjuntivo Präsens mit Akzent.;No parecer que drückt Unsicherheit aus.
Verb ver Subjuntivo (2. Pl. - Aufforderung);Os ruego que vosotros os {{c1::veáis}} en el centro.;Ich flehe euch an, dass ihr euch im Zentrum seht (trefft).;Bilde die 2. Person Plural von ver für das reziproke Treffen mit os im Subjuntivo Präsens mit Akzent.;Rogar (bitten/flehen) gehört zu den Verben der Willensäußerung.
Verb ver Subjuntivo (3. Pl. - Wunsch);El director prefiere que ellos {{c1::vean}} la oportunidad.;Der Direktor bevorzugt, dass sie die Gelegenheit sehen.;Bilde die 3. Person Plural von ver im Subjuntivo Präsens.;Preferir que zieht den Subjuntivo nach sich.
Verb ver Subjuntivo (3. Pl. - Unpersönlich);Es lógico que esos chicos {{c1::vean}} a sus padres.;Es ist logisch, dass diese Jungs ihre Eltern sehen (treffen).;Bilde die 3. Person Plural von ver im Subjuntivo Präsens.;Logische Bewertungen (es lógico que) nutzen den Subjuntivo.
Verb ver Subjuntivo (3. Pl. - Reflexiv Aussehen);Es probable que ellos se {{c1::vean}} felices hoy.;Es ist wahrscheinlich, dass sie heute glücklich aussehen.;Bilde die 3. Person Plural von ver für das reflexive Aussehen (verse) im Subjuntivo Präsens.;Felices ist der Plural von feliz.
Verb ver Subjuntivo (3. Pl. - Unpersönlich Plural);Es importante que en el mapa se {{c1::vean}} las calles.;Es ist wichtig, dass man auf der Karte die Straßen sieht.;Bilde die unpersönliche Pluralform mit se (man sieht) im Subjuntivo Präsens.;Da "las calles" im Plural steht, wechselt auch das unpersönliche Verb im Subjuntivo zu se vean.
Verb ver Subjuntivo (3. Pl. - Negation);No creo que ellas {{c1::vean}} la exposición de arte.;Ich glaube nicht, dass sie die Kunstausstellung anschauen.;Bilde die 3. Person Plural von ver für eine weibliche Gruppe im Subjuntivo.;Die verneinte Meinung (no creo que) ist ein klassischer Subjuntivo-Auslöser.
Verb ver Subjuntivo Imp. (1. Sg. - Hypothese);Si yo {{c1::viera}} un coche nuevo, lo compraría.;Wenn ich ein neues Auto sehen würde, würde ich es kaufen.;Bilde die 1. Person Singular von ver im Subjuntivo Imperfekt.;Bedingungssätze mit "Si" (Wenn) verlangen bei hypothetischen Aktionen im Nebensatz den Subjuntivo Imperfekt.
Verb ver Subjuntivo Imp. (1. Sg. - Wunsch Vergangenheit);Mi madre quería que yo {{c1::viera}} la televisión hoy.;Meine Mutter wollte, dass ich heute fernsehe (fernsehen würde).;Bilde die 1. Person Singular von ver (ich sähe/schauté) im Subjuntivo Imperfekt.;Da das Hauptverb in der Vergangenheit steht (quería), rutscht der Subjuntivo im Nebensatz ebenfalls in die Vergangenheit.
Verb ver Subjuntivo Imp. (1. Sg. - Unpersönlich Verg.);Era importante que yo {{c1::viera}} al director ayer.;Es war wichtig, dass ich den Leiter gestern treffe (sehe/sähe).;Bilde die 1. Person Singular von ver im Subjuntivo Imperfekt.;Vergangene unpersönliche Bewertungen (era importante que) lösen diesen Subjuntivo aus.
Verb ver Subjuntivo Imp. (1. Sg. - Vergleich);Él me miró como si no yo {{c1::viera}} el peligro.;Er sah mich an, als ob ich die Gefahr nicht sehen würde.;Bilde die 1. Person Singular von ver im Subjuntivo Imperfekt.;Die Konjunktion "como si" (als ob) erfordert im Spanischen ausnahmslos den Subjuntivo Imperfekt.
Verb ver Subjuntivo Imp. (1. Sg. - Reflexiv Aussehen);El jefe prefería que yo me {{c1::viera}} más elegante.;Der Chef bevorzugte, dass ich eleganter aussehe (wirken würde).;Bilde die 1. Person Singular von ver für das reflexive Aussehen (verse) im Subjuntivo Imperfekt.;"Verse + Adjektiv" drückt das Aussehen aus.
Verb ver Subjuntivo Imp. (2. Sg. - Hypothese);Si tú {{c1::vieras}} los resultados, entenderías todo.;Wenn du die Ergebnisse sehen würdest, würdest du alles verstehen.;Bilde die 2. Person Singular von ver im Subjuntivo Imperfekt.;Kombination aus Si + Subjuntivo Imperfekt und Condicional Simple (entenderías) im Hauptsatz.
